Day,mean_ppmv_o3,Year,mean_ppmv_co,mean_ppmv_temp,mean_ppmv_o3_lag_1,mean_ppmv_co_lag_1,mean_ppmv_temp_lag_1,mean_ppmv_o3_lag_2,mean_ppmv_co_lag_2,mean_ppmv_temp_lag_2,mean_ppmv_o3_lag_3,mean_ppmv_co_lag_3,mean_ppmv_temp_lag_3,mean_ppmv_o3_lag_4,mean_ppmv_co_lag_4,mean_ppmv_temp_lag_4,mean_ppmv_o3_lag_5,mean_ppmv_co_lag_5,mean_ppmv_temp_lag_5
67,2.3694728031658453e-06,2021,7.630296900098429e-07,220.12260613292375,2.3953952363157646e-06,7.985870601697209e-07,220.38669486547263,2.3756275157126797e-06,9.479802665681414e-07,219.4988793094638,2.3787843408596854e-06,9.775062854278975e-07,218.78928715907085,2.4210216385564982e-06,9.473860350039005e-07,218.16693007943397,2.427416218221401e-06,8.979406388108812e-07,217.69352535933496
68,2.3543970726456583e-06,2021,7.461185010391812e-07,220.35050798355923,2.3694728031658453e-06,7.630296900098429e-07,220.12260613292375,2.3953952363157646e-06,7.985870601697209e-07,220.38669486547263,2.3756275157126797e-06,9.479802665681414e-07,219.4988793094638,2.3787843408596854e-06,9.775062854278975e-07,218.78928715907085,2.4210216385564982e-06,9.473860350039005e-07,218.16693007943397
69,2.313488030086355e-06,2021,7.091983255863942e-07,220.32962111496838,2.3543970726456583e-06,7.461185010391812e-07,220.35050798355923,2.3694728031658453e-06,7.630296900098429e-07,220.12260613292375,2.3953952363157646e-06,7.985870601697209e-07,220.38669486547263,2.3756275157126797e-06,9.479802665681414e-07,219.4988793094638,2.3787843408596854e-06,9.775062854278975e-07,218.78928715907085
70,2.246957016494941e-06,2021,7.150677560686845e-07,220.28232457131134,2.313488030086355e-06,7.091983255863942e-07,220.32962111496838,2.3543970726456583e-06,7.461185010391812e-07,220.35050798355923,2.3694728031658453e-06,7.630296900098429e-07,220.12260613292375,2.3953952363157646e-06,7.985870601697209e-07,220.38669486547263,2.3756275157126797e-06,9.479802665681414e-07,219.4988793094638
71,2.292221671879427e-06,2021,7.175678974586178e-07,220.66174283525734,2.246957016494941e-06,7.150677560686845e-07,220.28232457131134,2.313488030086355e-06,7.091983255863942e-07,220.32962111496838,2.3543970726456583e-06,7.461185010391812e-07,220.35050798355923,2.3694728031658453e-06,7.630296900098429e-07,220.12260613292375,2.3953952363157646e-06,7.985870601697209e-07,220.38669486547263
72,2.269155505708669e-06,2021,7.353168754441187e-07,221.2248891679838,2.292221671879427e-06,7.175678974586178e-07,220.66174283525734,2.246957016494941e-06,7.150677560686845e-07,220.28232457131134,2.313488030086355e-06,7.091983255863942e-07,220.32962111496838,2.3543970726456583e-06,7.461185010391812e-07,220.35050798355923,2.3694728031658453e-06,7.630296900098429e-07,220.12260613292375
73,2.2277063824043205e-06,2021,8.126211519874195e-07,220.69672755774872,2.269155505708669e-06,7.353168754441187e-07,221.2248891679838,2.292221671879427e-06,7.175678974586178e-07,220.66174283525734,2.246957016494941e-06,7.150677560686845e-07,220.28232457131134,2.313488030086355e-06,7.091983255863942e-07,220.32962111496838,2.3543970726456583e-06,7.461185010391812e-07,220.35050798355923
74,2.212433489416999e-06,2021,8.490781042860988e-07,220.7758011373693,2.2277063824043205e-06,8.126211519874195e-07,220.69672755774872,2.269155505708669e-06,7.353168754441187e-07,221.2248891679838,2.292221671879427e-06,7.175678974586178e-07,220.66174283525734,2.246957016494941e-06,7.150677560686845e-07,220.28232457131134,2.313488030086355e-06,7.091983255863942e-07,220.32962111496838
75,2.2695313511426865e-06,2021,8.682659557325516e-07,221.09684603706484,2.212433489416999e-06,8.490781042860988e-07,220.7758011373693,2.2277063824043205e-06,8.126211519874195e-07,220.69672755774872,2.269155505708669e-06,7.353168754441187e-07,221.2248891679838,2.292221671879427e-06,7.175678974586178e-07,220.66174283525734,2.246957016494941e-06,7.150677560686845e-07,220.28232457131134
76,2.243771190630822e-06,2021,8.573439816489123e-07,220.65885354564128,2.2695313511426865e-06,8.682659557325516e-07,221.09684603706484,2.212433489416999e-06,8.490781042860988e-07,220.7758011373693,2.2277063824043205e-06,8.126211519874195e-07,220.69672755774872,2.269155505708669e-06,7.353168754441187e-07,221.2248891679838,2.292221671879427e-06,7.175678974586178e-07,220.66174283525734
77,2.2299163031490655e-06,2021,8.448010606134988e-07,221.23880999946832,2.243771190630822e-06,8.573439816489123e-07,220.65885354564128,2.2695313511426865e-06,8.682659557325516e-07,221.09684603706484,2.212433489416999e-06,8.490781042860988e-07,220.7758011373693,2.2277063824043205e-06,8.126211519874195e-07,220.69672755774872,2.269155505708669e-06,7.353168754441187e-07,221.2248891679838
78,2.1864669298168455e-06,2021,8.302440538247235e-07,222.1537896511843,2.2299163031490655e-06,8.448010606134988e-07,221.23880999946832,2.243771190630822e-06,8.573439816489123e-07,220.65885354564128,2.2695313511426865e-06,8.682659557325516e-07,221.09684603706484,2.212433489416999e-06,8.490781042860988e-07,220.7758011373693,2.2277063824043205e-06,8.126211519874195e-07,220.69672755774872
79,2.2231510401964507e-06,2021,7.94789332681909e-07,222.74499562823965,2.1864669298168455e-06,8.302440538247235e-07,222.1537896511843,2.2299163031490655e-06,8.448010606134988e-07,221.23880999946832,2.243771190630822e-06,8.573439816489123e-07,220.65885354564128,2.2695313511426865e-06,8.682659557325516e-07,221.09684603706484,2.212433489416999e-06,8.490781042860988e-07,220.7758011373693
80,2.2335253173892253e-06,2021,7.572931059075412e-07,223.51811354111035,2.2231510401964507e-06,7.94789332681909e-07,222.74499562823965,2.1864669298168455e-06,8.302440538247235e-07,222.1537896511843,2.2299163031490655e-06,8.448010606134988e-07,221.23880999946832,2.243771190630822e-06,8.573439816489123e-07,220.65885354564128,2.2695313511426865e-06,8.682659557325516e-07,221.09684603706484
81,2.2275892075980595e-06,2021,7.838800735719661e-07,223.86903448948868,2.2335253173892253e-06,7.572931059075412e-07,223.51811354111035,2.2231510401964507e-06,7.94789332681909e-07,222.74499562823965,2.1864669298168455e-06,8.302440538247235e-07,222.1537896511843,2.2299163031490655e-06,8.448010606134988e-07,221.23880999946832,2.243771190630822e-06,8.573439816489123e-07,220.65885354564128
82,2.286216000428134e-06,2021,7.669283982165331e-07,224.0130763317058,2.2275892075980595e-06,7.838800735719661e-07,223.86903448948868,2.2335253173892253e-06,7.572931059075412e-07,223.51811354111035,2.2231510401964507e-06,7.94789332681909e-07,222.74499562823965,2.1864669298168455e-06,8.302440538247235e-07,222.1537896511843,2.2299163031490655e-06,8.448010606134988e-07,221.23880999946832
83,2.342450206612011e-06,2021,6.984823353472712e-07,223.8121708880548,2.286216000428134e-06,7.669283982165331e-07,224.0130763317058,2.2275892075980595e-06,7.838800735719661e-07,223.86903448948868,2.2335253173892253e-06,7.572931059075412e-07,223.51811354111035,2.2231510401964507e-06,7.94789332681909e-07,222.74499562823965,2.1864669298168455e-06,8.302440538247235e-07,222.1537896511843
84,2.2476212539176304e-06,2021,8.040293981205357e-07,223.42379968154987,2.342450206612011e-06,6.984823353472712e-07,223.8121708880548,2.286216000428134e-06,7.669283982165331e-07,224.0130763317058,2.2275892075980595e-06,7.838800735719661e-07,223.86903448948868,2.2335253173892253e-06,7.572931059075412e-07,223.51811354111035,2.2231510401964507e-06,7.94789332681909e-07,222.74499562823965
85,2.2193043106769354e-06,2021,8.034871829752599e-07,223.64675347470194,2.2476212539176304e-06,8.040293981205357e-07,223.42379968154987,2.342450206612011e-06,6.984823353472712e-07,223.8121708880548,2.286216000428134e-06,7.669283982165331e-07,224.0130763317058,2.2275892075980595e-06,7.838800735719661e-07,223.86903448948868,2.2335253173892253e-06,7.572931059075412e-07,223.51811354111035
86,2.1698943417097716e-06,2021,8.386061532150079e-07,224.09897456247464,2.2193043106769354e-06,8.034871829752599e-07,223.64675347470194,2.2476212539176304e-06,8.040293981205357e-07,223.42379968154987,2.342450206612011e-06,6.984823353472712e-07,223.8121708880548,2.286216000428134e-06,7.669283982165331e-07,224.0130763317058,2.2275892075980595e-06,7.838800735719661e-07,223.86903448948868
87,2.181360494982346e-06,2021,7.54476983230433e-07,224.86068674642445,2.1698943417097716e-06,8.386061532150079e-07,224.09897456247464,2.2193043106769354e-06,8.034871829752599e-07,223.64675347470194,2.2476212539176304e-06,8.040293981205357e-07,223.42379968154987,2.342450206612011e-06,6.984823353472712e-07,223.8121708880548,2.286216000428134e-06,7.669283982165331e-07,224.0130763317058
88,2.1924448513708595e-06,2021,7.796975544894854e-07,225.23428635023603,2.181360494982346e-06,7.54476983230433e-07,224.86068674642445,2.1698943417097716e-06,8.386061532150079e-07,224.09897456247464,2.2193043106769354e-06,8.034871829752599e-07,223.64675347470194,2.2476212539176304e-06,8.040293981205357e-07,223.42379968154987,2.342450206612011e-06,6.984823353472712e-07,223.8121708880548
